"cue_file_hand","hand_x","cue_file_movement","movement_y","target_x","target_y","is_valid","correct_key","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp.keys","key_resp.corr","key_resp.rt","participant","session","gender","age","primary_hand","first_cue","date","expName","psychopyVersion","frameRate","X26","roka","kustiba"
"images/hand_right.png",0.5,"images/arrow_down.png",-0.25,-0.5,0.25,"movement","right",0,0,0,342,"right",1,0.467180800000089,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"nepareizs","nepareizs"
"images/hand_left.png",-0.5,"images/arrow_up.png",0.25,-0.5,-0.25,"hand","left",0,1,1,216,"left",1,0.375200899988879,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","nepareizs"
"images/hand_left.png",-0.5,"images/arrow_down.png",-0.25,-0.5,-0.25,"both","left",0,2,2,80,"left",1,0.491584499996388,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","pareizs"
"images/hand_left.png",-0.5,"images/arrow_up.png",0.25,-0.5,0.25,"both","right",0,3,3,52,"right",1,0.39837499999383,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","pareizs"
"images/hand_left.png",-0.5,"images/arrow_up.png",0.25,0.5,0.25,"movement","up",0,4,4,233,"up",1,0.426950800001388,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"nepareizs","pareizs"
"images/hand_left.png",-0.5,"images/arrow_up.png",0.25,0.5,0.25,"movement","up",0,5,5,225,"up",1,0.399744700001786,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"nepareizs","pareizs"
"images/hand_right.png",0.5,"images/arrow_up.png",0.25,-0.5,0.25,"movement","right",0,6,6,236,"right",1,0.402871900006896,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"nepareizs","pareizs"
"images/hand_left.png",-0.5,"images/arrow_down.png",-0.25,-0.5,-0.25,"both","left",0,7,7,72,"left",1,0.366205800008611,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","pareizs"
"images/hand_right.png",0.5,"images/arrow_up.png",0.25,0.5,0.25,"both","up",0,8,8,125,"up",1,0.365247900005197,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","pareizs"
"images/hand_left.png",-0.5,"images/arrow_down.png",-0.25,-0.5,0.25,"hand","right",0,9,9,250,"right",1,0.436226799998432,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","nepareizs"
"images/hand_left.png",-0.5,"images/arrow_up.png",0.25,-0.5,0.25,"both","right",0,10,10,16,"right",1,0.3433805999998,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","pareizs"
"images/hand_right.png",0.5,"images/arrow_down.png",-0.25,0.5,0.25,"none","up",0,11,11,383,"up",1,0.356871500000125,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","nepareizs"
"images/hand_left.png",-0.5,"images/arrow_down.png",-0.25,0.5,0.25,"none","up",0,12,12,389,"up",1,0.348442999995314,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"nepareizs","nepareizs"
"images/hand_left.png",-0.5,"images/arrow_down.png",-0.25,-0.5,-0.25,"both","left",0,13,13,86,"left",1,0.326501199994236,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","pareizs"
"images/hand_right.png",0.5,"images/arrow_up.png",0.25,0.5,0.25,"both","up",0,14,14,126,"up",1,0.305622600008501,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","pareizs"
"images/hand_right.png",0.5,"images/arrow_down.png",-0.25,-0.5,0.25,"movement","right",0,15,15,302,"right",1,0.296428399991593,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"nepareizs","nepareizs"
"images/hand_left.png",-0.5,"images/arrow_up.png",0.25,-0.5,0.25,"both","right",0,16,16,50,"right",1,0.338570099997451,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"pareizs","pareizs"
"images/hand_left.png",-0.5,"images/arrow_up.png",0.25,0.5,-0.25,"none","down",0,17,17,376,"down",1,0.353355300001567,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"nepareizs","nepareizs"
"images/hand_left.png",-0.5,"images/arrow_down.png",-0.25,0.5,0.25,"none","up",0,18,18,369,"up",1,0.397622499993304,5,1,"m",30,"r","h","2021_Apr_19_1121","bd-ai","2021.1.4",59.9940485887144,NA,"nepareizs","nepareizs"
